INDIC_SB,GEO,SIZEN,time,N_ENTERPRISE
V11110,MK,10_C10_12,2011,210.0
V11110,MK,10_C10_12,2012,223.0
V11110,MK,10_C10_12,2013,228.0
V11110,MK,10_C10_12,2014,220.0
V11110,MK,10_C10_12,2015,245.0
V11110,MK,10_C10_12,2016,238.0
V11110,MK,10_C10_12,2017,198.0
V11110,MK,10_C10_12,2018,201.0
V11110,MK,10_C10_12,2019,214.0
V11110,MT,10_C10_12,2008,4.0
V11110,MT,10_C10_12,2009,24.0
V11110,MT,10_C10_12,2010,11.0
V11110,MT,10_C10_12,2011,41.0
V11110,MT,10_C10_12,2012,37.0
V11110,MT,10_C10_12,2013,30.0
V11110,MT,10_C10_12,2014,4.0
V11110,MT,10_C10_12,2015,8.0
V11110,MT,10_C10_12,2016,9.0
V11110,MT,10_C10_12,2017,0.0
V11110,MT,10_C10_12,2018,27.0
V11110,MT,10_C10_12,2019,0.0
V11110,NL,10_C10_12,2005,1170.0
V11110,NL,10_C10_12,2006,1146.0
V11110,NL,10_C10_12,2007,1043.0
V11110,NL,10_C10_12,2008,941.0
V11110,NL,10_C10_12,2009,1043.0
V11110,NL,10_C10_12,2010,962.0
V11110,NL,10_C10_12,2011,971.0
V11110,NL,10_C10_12,2012,965.0
V11110,NL,10_C10_12,2013,985.0
V11110,NL,10_C10_12,2014,955.0
V11110,NL,10_C10_12,2015,935.0
V11110,NL,10_C10_12,2016,949.0
V11110,NL,10_C10_12,2017,944.0
V11110,NL,10_C10_12,2018,950.0
V11110,NL,10_C10_12,2019,935.0
V11110,NO,10_C10_12,2007,424.0
V11110,NO,10_C10_12,2008,434.0
V11110,NO,10_C10_12,2009,415.0
V11110,NO,10_C10_12,2010,402.0
V11110,NO,10_C10_12,2011,405.0
V11110,NO,10_C10_12,2012,394.0
V11110,NO,10_C10_12,2013,404.0
V11110,NO,10_C10_12,2014,405.0
V11110,NO,10_C10_12,2015,447.0
V11110,NO,10_C10_12,2016,445.0
V11110,NO,10_C10_12,2017,457.0
V11110,NO,10_C10_12,2018,403.0
V11110,NO,10_C10_12,2019,470.0
V11110,PL,10_C10_12,2005,3177.0
V11110,PL,10_C10_12,2006,3044.0
V11110,PL,10_C10_12,2007,3024.0
V11110,PL,10_C10_12,2008,3125.0
V11110,PL,10_C10_12,2009,2857.0
V11110,PL,10_C10_12,2010,3002.0
V11110,PL,10_C10_12,2011,3009.0
V11110,PL,10_C10_12,2012,2981.0
V11110,PL,10_C10_12,2013,2924.0
V11110,PL,10_C10_12,2014,3036.0
V11110,PL,10_C10_12,2015,2836.0
V11110,PL,10_C10_12,2016,2802.0
V11110,PL,10_C10_12,2017,2595.0
